ID,mse,w_cost,b,scale,test_acc
6WV2NEE0,0.3057616964799607,0.5805975025960348,0.026201790334843468,2.6286909649081127,0.517942404782147
ZD5YRLF3,0.33502719991229335,0.5251575680731452,0.05781967054876511,1.3289077418909396,0.03078402646855454
HVPDYHIR,0.17343916494179537,0.37956153564047046,0.2105824439317134,0.9968753526249536,0.049566853865668614
POW9GSVY,0.37663094404940134,0.5795447342360874,-0.02397035239411552,3.3421550775511992,0.5320643567103407
BJWPOBQK,0.20511001194864562,0.5611807435240366,-0.2391926988193518,1.6395727957381707,0.3915438025295974
5DO63X5J,0.09799737871661345,0.0,-0.3878414123133411,0.5758088375795155,0.315376172255186
9TCBNURI,0.14581102475228097,0.42426632805434306,-0.11135498181227899,1.8843962920475397,0.5924571226895703
M5KTEK0H,0.2339716942163327,0.30304958577804764,-0.18568655377390073,1.449803393103243,0.38598507855746306
DNF7I1P8,0.09835942899384444,0.21117436591436195,0.032848697428739006,1.3790310620664574,0.5997172310457034
THDOFYVJ,0.22601651054070132,0.5844747749047524,-0.14253071386531432,2.847568502986178,0.5532493525075133
M59HVEQF,0.15454346400307503,0.5562268016165652,-0.361244798150838,1.9685546247276928,0.4855092294785166
MK4MT68C,0.23270022104061447,0.5689465321825542,-0.11507400196914425,2.3035088849996392,0.5131557345774453
LYNM91ED,0.25028749050324844,0.5168212748266053,-0.11321912779985392,2.38467171456918,0.5454494941809167
TO5RXBKL,0.45563080316693233,0.2774457523369361,-0.042950512951124446,1.7717811121030063,0.30992880185801697
IPBY8TLI,0.24361435779570254,0.3203317404962977,-0.0196240336312431,1.8239935773807883,0.4825512648036582
FAABLIH3,0.3961119225205019,0.6248398070320471,-0.3396397511622365,1.604056269258066,0.15466705388531482
B5TKEJ2C,0.3854097560305988,0.6423259614758157,-0.15831450240854295,2.901249007290064,0.43638753806151415
2ZE636RI,0.03548442024856471,0.43213091790424896,-0.9969744759624114,0.760817168685823,0.3902695126270552
2YD3BL09,0.19103408623524118,0.5818324356227434,-0.3255738540110663,2.453479836324189,0.5707780513726304
O5GG3FTV,0.2806011829780701,0.6001480439593628,-0.213779663422909,2.6016998892358014,0.4858370543172322
3QTXT7DJ,0.07116269670634963,0.5227323120595565,-0.541534826396636,0.9572939805980716,0.36181976455194065
IRYI65XQ,0.13142273493202591,0.7162289063789739,-0.5693060116751653,1.5479734230182944,0.3836480988715828
3MC0RP22,0.3551973099686838,0.7925079561294031,-0.5872180882654976,1.2173985160323122,0.16649869153904254
I4T5QOQ3,0.2780341995963468,0.5667306276876984,-0.022316321841129135,2.985432859685141,0.5300123566504249
GUBD8BKK,0.23446262580546962,0.3462703923922461,0.025541364776894584,2.500899783896842,0.5925162199765904
Y11W6YEE,0.2198827577601188,0.6062486027168458,0.13840866881318586,1.9325047495416525,0.4707020690722011
TWUPRP9C,0.1581920191769513,0.41980424540204503,-0.0473270390439061,2.4784989468970764,0.6594867539730818
AV6YPXJU,0.21762464746451848,0.4181992364419505,0.013758968386879584,1.8781763776882323,0.4470169847271633
KLPEK6B4,0.2433204324790825,0.43052382156860636,0.015758483599668152,2.9571476523837528,0.6579198837921791
I3Z3I3RS,0.12607472401313416,0.3694773157293601,0.14520113839985982,2.9018903429118375,0.7326072986150947
6MGZ913N,0.0871721496542425,0.5774965921385631,-0.5036574139696685,1.6439134804070903,0.5998512523215501
S2IKMVQK,0.12016445867712701,0.009657931665059391,-0.518086351097838,0.5832579039474863,0.26769873011986717
B7HURJW2,0.14816252907036748,0.629362769994905,-0.28403780978302806,1.8159724668452308,0.5151068060780942
FS5JUY7H,0.15976092337933573,0.2878741774787978,0.0029228668691418562,1.9441262349178874,0.5963738703231547
0BUK3E0S,0.295189646160661,0.43860082404440465,-0.2886661696778569,1.4839287734732558,0.2388882046989333
14ZLZMV8,0.4130753790945829,0.39098448569791344,-0.07516577956136063,2.02199416525164,0.3772832051907155
AEAFGGIP,0.22279452421740553,0.23823967321025918,0.22499578213187146,2.0660157902857987,0.5795985242260892
RQJRN75N,0.06925813701861976,0.47458026538067377,-0.13053250239094252,1.7418791071079127,0.6600671121104833
5IEHSDSC,0.30914619670383847,0.3090273034010431,-0.0238652500668366,1.828897324301178,0.38826823228468593
OVU0ULGA,0.12682738650702183,0.3031515729217132,0.2806070323669753,1.5343654692415702,0.5568394430810678
AE7CJHC5,0.20036429458402438,0.4300681976266669,-0.1315329308017414,2.0524000776243003,0.5652459013619546
YKQ5273D,0.3287402120550386,0.7379281948975004,-0.19855295519993374,2.6868374307567633,0.2818313244914536
ABPH33RI,0.36692671537645544,0.5240046776395028,-0.0702243582428684,3.553206598491013,0.5577994189353742
TMKF6UR9,0.43633484384109594,0.282761928112515,0.3948112009298887,1.7858795428381389,0.36273702070578295
