ID,neg_llh,r2,AIC,BIC,w_cost,w_benefit,b,beta,test_acc
Y3ZW90BS,15.8572609335292,0.5424561657823026,39.7145218670584,47.36261388877099,2.5932754248872993,2.999715942308336,-1.5400158841400486,1.23150184447909,0.86
ZRL8UU89,28.19758790902305,0.18638959517243703,64.3951758180461,72.04326783975868,2.1414649459016433,2.5372182521230875,-0.18324955454129976,1.3096564117224836,0.7
2353145V,23.23293461152327,0.32963920901315646,54.46586922304654,62.113961244759125,0.9294898247249194,2.4985362738953256,0.7977372748371125,2.76169303478354,0.76
N9AJLIYJ,30.054944956244107,0.13279759914871725,68.10988991248821,75.7579819342008,3.0,1.6286389740002962,-0.7062744580192232,1.407581803865856,0.68
92AMSAAZ,31.916200802731957,0.07909310755764509,71.83240160546391,79.4804936271765,0.7921471026790055,0.9998014622281403,0.36949359352244393,2.137932763918662,0.52
N83IXPDK,22.65812710782277,0.346224647714246,53.31625421564554,60.96434623735813,-3.0,-1.7405823702790364,-1.675666312406522,0.7003395335442877,0.82
JOVIWOO2,30.235703628819607,0.12758200633827033,68.47140725763921,76.1194992793518,2.8799897883209287,0.6906233893260622,-2.9240331798624593,0.4580623792492978,0.66
1GDCKLZO,6.445090850117283,0.8140339878491393,20.890181700234564,28.53827372194715,-1.6862860802546953,3.0,0.976268997599738,4.455890701934156,0.92
X67R06MS,11.483473356814802,0.668656998718855,30.966946713629603,38.61503873534219,-1.3006951089086214,2.970745842842519,0.35210295572287725,1.7859551266468905,0.92
Y4N8MCWN,12.527886418723067,0.6385216078177607,33.055772837446135,40.70386485915872,1.3975789764197188,2.9999998907229894,0.0009322592596706574,2.9589285495016737,0.88
YOMA8T3S,29.934673984475314,0.13626788583939198,67.86934796895062,75.5174399906632,0.5791007120286833,0.9558621543131262,0.6132033742191556,2.0648288226242015,0.6
RE74M6LL,17.92103578504636,0.48290821090639935,43.84207157009272,51.490163591805306,1.4114397766845264,3.0,0.458520632899685,3.463154741923362,0.76
WPMH56EI,27.818256698823443,0.1973347802886246,63.63651339764689,71.28460541935947,0.3065898997404501,2.601836569654544,1.0657176971608742,1.8380959961345953,0.66
PTS6FGY5,23.260675824136197,0.3288387668158581,54.52135164827239,62.16944366998498,2.4331559107135026,1.4599152576877679,-0.6122606533731916,3.105223161949191,0.78
F7ARKNCT,22.834565767064333,0.34113370414006794,53.66913153412867,61.31722355584125,-0.8133481016329156,2.4285955755204918,0.3894641530821986,1.2932174168981476,0.8
1EN8B1B1,21.105538656905924,0.3910228808878302,50.21107731381185,57.859169335524435,2.821764109492363,2.122393636940893,-1.0426713627288238,1.799844638894083,0.82
C23E9AKY,17.30814256999823,0.500592570945288,42.61628513999646,50.26437716170904,1.6867720528562498,2.825841696406309,-0.4328086010936609,2.177026933869779,0.78
S8PAC0ZH,5.731678209183125,0.8346187254328035,19.46335641836625,27.11144844007883,2.363389652902644,3.0,-1.569330599264816,2.6313316116897747,0.96
HM7GOAF9,23.622524872536736,0.3183980102623012,55.24504974507347,62.89314176678606,0.6531635310223861,2.9991868462686426,-0.30197242899865934,0.8762581730561518,0.78
LAA1OD1K,22.620292386154265,0.34731632702073734,53.24058477230853,60.888676794021116,2.9998330885337796,1.9188979285601844,-0.8822761973209786,2.445988648816036,0.76
0IT5KN4M,30.805664943197705,0.11113639910323359,69.61132988639541,77.259421908108,3.0,1.6144031790841753,-0.8247871908031096,1.243187845529159,0.64
6WV2NEE0,26.097770990980234,0.2469775042611394,60.19554198196047,67.84363400367305,1.8055177023756421,1.3178523021184037,0.09723014287552928,3.0699084352159702,0.66
ZD5YRLF3,30.25621817954552,0.12699008152630353,68.51243635909104,76.16052838080363,3.0,2.5143276844196802,0.004458762036090517,1.130213649254735,0.64
