ID,neg_llh,r2,AIC,BIC,w_cost,b,w_urgency,beta,test_acc
1EN8B1B1,21.105538657227655,0.3910228808785471,50.21107731445531,57.859169336167895,0.5707268273455988,-0.06267386041816468,-0.14821505144324018,8.898679705068787,0.82
C23E9AKY,17.30814256999867,0.5005925709452752,42.61628513999734,50.26437716170992,0.3737904810431769,-0.038212278511904924,-0.05769858897504284,9.824079507364516,0.78
S8PAC0ZH,5.842874451649014,0.831410280081383,19.685748903298027,27.333840925010612,0.3534756175587363,-0.11638203377419053,-0.1740155174611594,10.0,0.96
HM7GOAF9,23.622524872535724,0.3183980102623304,55.24504974507145,62.893141766784034,0.1788331190614817,-0.020132540880708583,-0.06254672974108838,3.200394548898963,0.78
LAA1OD1K,22.793332776427253,0.3423234367623307,53.586665552854505,61.23475757456709,0.6029409890554934,-0.5172084593359919,0.3356434930669065,10.0,0.76
0IT5KN4M,30.805664937139763,0.11113639927802887,69.61132987427953,77.2594218959921,0.6501485302584091,0.08706151875650812,-0.2658090630878464,5.7365736316652445,0.62
6WV2NEE0,26.09777099164121,0.24697750424206766,60.19554198328242,67.843634004995,0.5780634869381013,-0.9688669696531413,1.0,9.588431403589647,0.66
ZD5YRLF3,33.42702302949618,0.03549999287329364,74.85404605899237,82.50213808070495,0.0,0.20676561986071357,0.07252198495132099,1.1517992744436383,0.4
HVPDYHIR,32.041353099231095,0.0754819756073416,72.08270619846219,79.73079822017478,0.4539581440020899,-0.3325049908511685,0.45713489490255615,4.113939330835782,0.52
POW9GSVY,34.65636137425877,2.8786202020958385e-05,77.31272274851754,84.96081477023013,1.4191903116392964e-07,-0.999999636591527,-0.9999996621816657,1e-05,0.64
BJWPOBQK,26.85485581397696,0.22513265386774584,61.70971162795392,69.35780364966651,0.560677842640509,-0.14820315890775532,-0.1705064359623992,4.1602226078260305,0.7
5DO63X5J,9.423235657080637,0.7225539724163614,26.846471314161274,34.41375250660378,0.0,-0.015237649260738586,-0.05838930431510619,5.956603984782064,0.9387755102040817
9TCBNURI,15.70967834601942,0.546714499124741,39.41935669203884,47.067448713751425,0.2103718876910014,-0.8767948496102643,1.0,10.0,0.82
M5KTEK0H,16.126431863001,0.5346895344802938,40.252863726002,47.90095574771458,0.09094295759345279,0.031807216037633715,-0.019810867326758685,5.684249978794795,0.8
DNF7I1P8,17.019457852619844,0.5089222511481325,42.03891570523969,49.687007726952274,0.09838441140232251,0.06958893632614493,0.03057934874827021,6.157955038838264,0.84
THDOFYVJ,23.912317997851332,0.3100363481667996,55.824635995702664,63.47272801741525,0.69803338313779,0.05619636380480315,-0.29806750797314063,10.0,0.76
M59HVEQF,10.693156293036635,0.6914607288917087,29.38631258607327,37.03440460778585,0.3051635233486528,-0.2125579353092246,0.11841398201799778,10.0,0.9
MK4MT68C,22.66630709465153,0.3459886231855982,53.33261418930306,60.980706211015644,0.5838051541074709,0.05942084203464763,-0.1853474737110827,10.0,0.8
