ID,neg_llh,r2,AIC,BIC,b,beta,test_acc
F7ARKNCT,25.019121186909295,0.27810075872491924,54.03824237381859,57.86228838467488,-1.0,1.3863317836167193,0.8
1EN8B1B1,27.552996414351963,0.2049885742276607,59.105992828703926,62.93003883956022,-1.0,1.1527071482141817,0.76
C23E9AKY,25.01912118690926,0.27810075872492035,54.03824237381852,57.86228838467481,-1.0,1.3863318504939088,0.8
S8PAC0ZH,8.39620739671813,0.7577366645295904,20.79241479343626,24.616460804292554,-1.0,3.1782902747430315,0.96
HM7GOAF9,25.01912118690926,0.27810075872492035,54.03824237381852,57.86228838467481,-1.0,1.386331853918043,0.8
LAA1OD1K,32.05077390406139,0.07521014863914477,68.10154780812277,71.92559381897907,-1.0,0.6633076614292466,0.66
0IT5KN4M,34.01360001960769,0.01857495857862468,72.02720003921539,75.85124605007168,-0.991264364194713,0.3256246533060996,0.58
6WV2NEE0,33.20220633820881,0.041986831385880774,70.40441267641762,74.22845868727391,0.5458391159112158,0.8968899859348243,0.62
ZD5YRLF3,34.656359038622114,2.885359424953382e-05,73.31271807724423,77.13676408810052,-1.0,1e-05,0.5
HVPDYHIR,34.496187932919845,0.004650414792056745,72.99237586583969,76.81642187669598,1.0,0.16034589165555166,0.54
POW9GSVY,34.65636903842211,2.8565061012120196e-05,73.31273807684423,77.13678408770052,-1.0,1e-05,0.0
BJWPOBQK,28.65184586657124,0.1732824811196546,61.30369173314248,65.12773774399876,-1.0,1.045993235805386,0.74
5DO63X5J,11.28487351271788,0.6677422233906674,26.56974702543576,30.353387621657014,-1.0,2.7301818311158126,0.9387755102040817
9TCBNURI,29.646665882373618,0.14457804305215116,63.293331764747236,67.11737777560353,-1.0,0.9444833693449721,0.72
M5KTEK0H,20.2471742631968,0.4157900419694265,44.4943485263936,48.318394537249894,-1.0,1.815349735873515,0.86
DNF7I1P8,21.982493980067343,0.3657192989717071,47.964987960134685,51.78903397099098,-1.0,1.6582783577449396,0.84
THDOFYVJ,32.05077390406126,0.07521014863914843,68.10154780812252,71.92559381897881,-1.0,0.6633076762080002,0.66
M59HVEQF,16.25314867957233,0.5310332600229999,36.50629735914466,40.33034337000095,-1.0,2.1973133239222804,0.9
MK4MT68C,33.6495833604627,0.02907825915761364,71.2991667209254,75.12321273178169,-1.0,0.4054734099387743,0.6
LYNM91ED,31.34247288862119,0.09564739588778848,66.68494577724238,70.50899178809867,-1.0,0.7537883582920192,0.68
TO5RXBKL,28.651845866571154,0.17328248111965705,61.30369173314231,65.1277377439986,-1.0,1.0459932689980038,0.74
IPBY8TLI,25.019121186909267,0.2781007587249201,54.038242373818534,57.86228838467483,-1.0,1.3863318331616052,0.8
FAABLIH3,29.646665882373597,0.14457804305215172,63.293331764747194,67.11737777560349,-1.0,0.9444834148907152,0.72
B5TKEJ2C,34.01360001960766,0.018574958578625678,72.02720003921532,75.85124605007161,-0.9912641816917687,0.3256246963899029,0.58
2ZE636RI,0.0017699247610887617,0.9999489307664886,4.003539849522178,7.82758586037847,-1.0,10.0,1.0
2YD3BL09,16.253148679572305,0.5310332600230006,36.50629735914461,40.330343370000904,-1.0,2.197313361353483,0.9
O5GG3FTV,29.64666588237363,0.14457804305215083,63.29333176474726,67.11737777560354,-1.0,0.9444833465989431,0.72
3QTXT7DJ,4.900955673995825,0.858588311070192,13.80191134799165,17.62595735884794,-1.0,3.892305837350819,0.98
IRYI65XQ,13.93746859843348,0.5978496634098873,31.87493719686696,35.69898320772325,-1.0,2.442459653178941,0.92
3MC0RP22,29.64666588237359,0.14457804305215194,63.29333176474718,67.11737777560347,-1.0,0.9444834237276727,0.72
I4T5QOQ3,34.65636903842211,2.8565061012120196e-05,73.31273807684423,77.13678408770052,-1.0,1e-05,0.0
GUBD8BKK,27.55299641435252,0.2049885742276446,59.10599282870504,62.930038839561334,-1.0,1.1527070806929647,0.76
Y11W6YEE,28.651845866571968,0.17328248111963362,61.303691733143935,65.12773774400023,0.7538117981978358,1.3876050134764097,0.74
TWUPRP9C,25.019121186909274,0.2781007587249199,54.03824237381855,57.86228838467484,-1.0,1.3863317992386337,0.8
AV6YPXJU,31.342472888621188,0.09564739588778859,66.68494577724238,70.50899178809867,-1.0,0.753788323496907,0.68
KLPEK6B4,32.669909749685054,0.05734566435678756,69.33981949937011,73.1638655102264,-1.0,0.5753761638383624,0.64
I3Z3I3RS,34.49618793291984,0.004650414792056967,72.99237586583968,76.81642187669597,1.0,0.1603458702298587,0.54
